policy,episode,seed,winner,win,tissue_damage,host_utility,episode_length,recruited_neutrophils,attack_actions,signal_actions,blind_signal_actions,stay_actions,coverage_ratio,corner_dwell_ratio,visible_bacteria_ratio,camp_signal_signature,truncated
heuristic,0,123,Bacteria,0,39.100000000000065,-41.000000000000064,142,0,15,14,0,0,0.11604938271604938,0.014084507042253521,1.0,0,0
heuristic,1,124,Host,1,116.75,-115.045,105,9,0,12,0,0,0.08395061728395062,0.0,0.6190476190476191,0,0
heuristic,2,125,,0,108.09999999999987,-108.09999999999987,160,0,0,0,0,0,0.2074074074074074,0.0,0.0,0,1
heuristic,3,126,,0,59.99999999999986,-59.99999999999986,160,0,0,0,0,0,0.18024691358024691,0.0125,0.0,0,1
heuristic,4,127,Host,1,73.14999999999999,-63.43999999999999,49,6,10,4,0,0,0.08888888888888889,0.0,0.8571428571428571,0,0
mcts,0,123,,0,42.60000000000014,-37.77500000000014,160,0,12,1,0,2,0.145679012345679,0.025,0.75,0,1
mcts,1,124,,0,143.20000000000002,-142.20000000000002,160,0,2,0,0,1,0.18518518518518517,0.0,0.18125,0,1
mcts,2,125,,0,108.09999999999987,-108.09999999999987,160,0,0,0,0,0,0.2074074074074074,0.0,0.0,0,1
mcts,3,126,,0,59.99999999999986,-59.99999999999986,160,0,0,0,0,0,0.18024691358024691,0.0125,0.0,0,1
mcts,4,127,,0,148.6000000000003,-148.7200000000003,160,0,2,2,1,2,0.1925925925925926,0.0,0.2,0,1
rl,0,123,,0,73.9,-73.9,160,0,0,0,0,0,0.10864197530864197,0.00625,0.2375,0,1
rl,1,124,,0,97.89999999999992,-97.89999999999992,160,0,0,0,0,0,0.12345679012345678,0.0375,0.00625,0,1
rl,2,125,,0,104.10000000000026,-104.10000000000026,160,0,0,0,0,0,0.05925925925925926,0.04375,0.0,0,1
rl,3,126,,0,156.80000000000015,-156.80000000000015,160,0,0,0,0,0,0.10123456790123457,0.0,0.0,0,1
rl,4,127,,0,47.9999999999999,-47.9999999999999,160,0,0,0,0,0,0.2222222222222222,0.025,0.00625,0,1
