policy,episode,seed,winner,win,tissue_damage,host_utility,episode_length,recruited_neutrophils,attack_actions,signal_actions,blind_signal_actions,stay_actions,coverage_ratio,corner_dwell_ratio,visible_bacteria_ratio,camp_signal_signature,truncated
heuristic,0,123,Host,1,33.30000000000003,-34.07500000000003,126,0,14,18,0,0,0.11358024691358025,0.015873015873015872,1.0,0,0
heuristic,1,124,Host,1,137.85000000000014,-136.74000000000012,142,6,0,14,0,0,0.08395061728395062,0.0,0.7253521126760564,0,0
heuristic,2,125,Bacteria,0,156.1000000000002,-156.1000000000002,220,0,0,0,0,0,0.22469135802469137,0.0,0.0,0,0
heuristic,3,126,Bacteria,0,84.00000000000013,-84.00000000000013,220,0,0,0,0,0,0.18518518518518517,0.00909090909090909,0.0,0,0
heuristic,4,127,Bacteria,0,180.19999999999987,-172.0599999999999,187,1,35,18,0,13,0.1728395061728395,0.0053475935828877,0.7540106951871658,0,0
heuristic,5,128,Host,1,39.80000000000004,-31.41000000000004,104,0,25,6,0,0,0.1259259259259259,0.009615384615384616,0.5096153846153846,0,0
heuristic,6,129,Host,1,91.74999999999986,-86.21499999999986,113,3,10,7,0,0,0.13333333333333333,0.0,0.4336283185840708,0,0
heuristic,7,130,Bacteria,0,96.54999999999927,-85.01999999999927,220,2,25,2,0,22,0.23950617283950618,0.004545454545454545,0.19545454545454546,0,0
heuristic,8,131,Host,1,25.300000000000082,-22.75000000000008,160,0,17,14,0,0,0.16790123456790124,0.0,1.0,0,0
heuristic,9,132,Host,1,15.699999999999992,-14.324999999999992,75,0,13,8,0,0,0.08148148148148149,0.013333333333333334,1.0,0,0
heuristic,10,133,Bacteria,0,51.800000000000175,-54.16500000000018,195,1,22,23,0,2,0.16049382716049382,0.010256410256410256,0.9897435897435898,0,0
heuristic,11,134,Bacteria,0,127.44999999999969,-108.06499999999969,145,4,32,12,0,0,0.1654320987654321,0.006896551724137931,0.9724137931034482,0,0
heuristic,12,135,Host,1,127.60000000000008,-123.95000000000007,137,2,0,29,0,1,0.08641975308641975,0.0,0.7591240875912408,0,0
heuristic,13,136,Host,1,81.49999999999974,-74.31999999999974,162,3,18,3,0,12,0.2345679012345679,0.0,0.5987654320987654,0,0
heuristic,14,137,Host,1,66.84999999999997,-58.17499999999997,131,5,25,12,0,1,0.1580246913580247,0.007633587786259542,0.9541984732824428,0,0
heuristic,15,138,Host,1,116.79999999999981,-115.37999999999981,137,12,0,8,0,0,0.12098765432098765,0.0072992700729927005,0.6715328467153284,0,0
heuristic,16,139,Bacteria,0,92.80000000000005,-85.25500000000005,218,3,35,32,0,18,0.21975308641975308,0.0,0.8990825688073395,0,0
heuristic,17,140,Bacteria,0,177.3999999999997,-177.3999999999997,220,0,0,0,0,0,0.08641975308641975,0.0,0.0,0,0
heuristic,18,141,Host,1,144.69999999999982,-137.46999999999983,199,3,30,14,0,20,0.2740740740740741,0.005025125628140704,0.5678391959798995,0,0
heuristic,19,142,Bacteria,0,109.59999999999985,-121.84999999999985,220,0,0,63,0,0,0.022222222222222223,0.0,1.0,0,0
heuristic,20,143,Bacteria,0,92.60000000000015,-88.63000000000015,192,1,39,28,0,0,0.17530864197530865,0.015625,0.90625,0,0
heuristic,21,144,Host,1,153.5499999999999,-155.4949999999999,169,16,17,35,0,0,0.16296296296296298,0.0,0.9408284023668639,0,0
heuristic,22,145,Host,1,29.59999999999999,-23.17499999999999,101,0,18,7,0,17,0.11851851851851852,0.0,0.7920792079207921,0,0
heuristic,23,146,Host,1,108.79999999999983,-98.57999999999983,191,1,31,13,0,19,0.21975308641975308,0.005235602094240838,0.5863874345549738,0,0
heuristic,24,147,Bacteria,0,170.45000000000016,-163.68000000000018,220,2,44,34,0,17,0.18765432098765433,0.0,0.9181818181818182,0,0
heuristic,25,148,Host,1,53.85,-42.93,77,1,13,8,0,0,0.1037037037037037,0.0,0.7142857142857143,0,0
heuristic,26,149,Host,1,73.35000000000002,-71.86500000000002,113,8,0,8,0,0,0.05432098765432099,0.0,0.9292035398230089,0,0
heuristic,27,150,Bacteria,0,180.14999999999966,-190.55999999999966,162,3,0,43,0,0,0.08395061728395062,0.006172839506172839,0.8580246913580247,0,0
heuristic,28,151,Host,1,76.09999999999965,-66.11999999999965,157,3,29,14,0,15,0.1654320987654321,0.0,0.821656050955414,0,0
heuristic,29,152,Bacteria,0,65.60000000000005,-62.89000000000005,220,1,15,9,0,14,0.24938271604938272,0.0,0.4909090909090909,0,0
heuristic,30,153,Bacteria,0,182.3499999999997,-199.67499999999973,162,8,0,38,0,0,0.0345679012345679,0.0,0.9444444444444444,0,0
heuristic,31,154,Host,1,27.999999999999993,-23.874999999999993,147,0,11,5,0,16,0.17777777777777778,0.006802721088435374,0.6462585034013606,0,0
heuristic,32,155,Bacteria,0,44.2000000000001,-40.9500000000001,220,0,12,9,0,35,0.1654320987654321,0.0,0.5,0,0
heuristic,33,156,Host,1,174.39999999999995,-160.97999999999996,152,5,26,14,0,0,0.22962962962962963,0.0,0.5855263157894737,0,0
heuristic,34,157,Host,1,48.90000000000005,-44.42500000000005,193,0,12,3,0,1,0.2765432098765432,0.015544041450777202,0.3005181347150259,0,0
heuristic,35,158,Bacteria,0,156.89999999999995,-151.22499999999994,220,0,41,35,0,0,0.254320987654321,0.0,0.9818181818181818,0,0
heuristic,36,159,Bacteria,0,99.29999999999995,-99.29999999999995,220,0,0,0,0,0,0.21728395061728395,0.004545454545454545,0.2590909090909091,0,0
heuristic,37,160,Host,1,43.09999999999998,-35.90999999999998,85,8,19,16,0,0,0.08641975308641975,0.0,0.9647058823529412,0,0
heuristic,38,161,Bacteria,0,49.600000000000094,-48.1750000000001,220,0,7,5,0,17,0.2345679012345679,0.0,0.15,0,0
heuristic,39,162,Host,1,43.89999999999995,-42.09499999999995,170,0,25,21,0,14,0.10864197530864197,0.023529411764705882,0.8058823529411765,0,0
heuristic,40,163,Host,1,21.5,-19.49,42,3,10,9,0,0,0.04938271604938271,0.023809523809523808,1.0,0,0
heuristic,41,164,Host,1,40.79999999999998,-22.674999999999983,76,2,21,3,0,12,0.09876543209876543,0.013157894736842105,0.8289473684210527,0,0
heuristic,42,165,Bacteria,0,158.6999999999995,-154.6999999999995,220,0,24,22,0,37,0.2271604938271605,0.0,0.5590909090909091,0,0
heuristic,43,166,Bacteria,0,181.20000000000007,-181.20000000000007,156,0,0,0,0,0,0.14814814814814814,0.00641025641025641,0.0,0,0
heuristic,44,167,Host,1,59.40000000000007,-47.34000000000007,124,1,24,7,0,16,0.16296296296296298,0.0,0.6370967741935484,0,0
heuristic,45,168,Bacteria,0,70.39999999999986,-52.87999999999986,139,2,32,14,0,0,0.13580246913580246,0.007194244604316547,1.0,0,0
heuristic,46,169,Host,1,156.74999999999991,-143.80499999999992,154,5,31,21,0,12,0.15555555555555556,0.006493506493506494,0.8246753246753247,0,0
heuristic,47,170,Host,1,101.09999999999985,-90.09499999999986,133,4,19,3,0,14,0.15308641975308643,0.0,0.39849624060150374,0,0
heuristic,48,171,Host,1,131.59999999999988,-115.75999999999988,214,3,47,14,0,13,0.1925925925925926,0.018691588785046728,0.8457943925233645,0,0
heuristic,49,172,Bacteria,0,181.99999999999986,-181.99999999999986,126,0,0,0,0,0,0.07160493827160494,0.0,0.0,0,0
heuristic,50,173,Host,1,101.64999999999995,-102.65499999999994,142,6,23,27,0,0,0.1580246913580247,0.007042253521126761,0.8661971830985915,0,0
heuristic,51,174,Bacteria,0,82.10000000000012,-82.10000000000012,220,0,0,0,0,0,0.20493827160493827,0.0,0.12727272727272726,0,0
heuristic,52,175,Bacteria,0,180.35000000000016,-172.82000000000016,181,5,36,16,0,0,0.2617283950617284,0.0,0.574585635359116,0,0
heuristic,53,176,Bacteria,0,180.40000000000035,-176.78000000000034,122,11,0,14,0,0,0.06172839506172839,0.0,0.9836065573770492,0,0
heuristic,54,177,Host,1,22.400000000000045,-14.535000000000045,93,0,22,8,0,0,0.1382716049382716,0.0,1.0,0,0
heuristic,55,178,Bacteria,0,131.39999999999984,-124.95499999999984,220,1,29,21,0,9,0.2814814814814815,0.00909090909090909,0.65,0,0
heuristic,56,179,Bacteria,0,142.7999999999997,-132.5749999999997,220,3,28,18,0,0,0.26666666666666666,0.00909090909090909,0.6272727272727273,0,0
heuristic,57,180,Host,1,32.4,-29.794999999999998,113,0,13,15,0,0,0.1308641975308642,0.0,0.7079646017699115,0,0
heuristic,58,181,Bacteria,0,51.60000000000028,-55.50000000000028,220,0,2,28,0,14,0.19012345679012346,0.0,0.6318181818181818,0,0
heuristic,59,182,Bacteria,0,181.3999999999998,-182.13499999999982,151,0,0,2,0,0,0.09876543209876543,0.0,0.033112582781456956,0,0
heuristic,60,183,Host,1,29.200000000000024,-27.300000000000026,136,0,11,12,0,5,0.1925925925925926,0.0,0.7352941176470589,0,0
heuristic,61,184,Host,1,37.300000000000026,-34.15000000000003,139,0,19,14,0,0,0.2222222222222222,0.007194244604316547,0.7482014388489209,0,0
heuristic,62,185,Host,1,110.7499999999999,-105.6899999999999,147,2,27,21,0,0,0.17530864197530865,0.0,0.9931972789115646,0,0
heuristic,63,186,Host,1,82.09999999999974,-83.57999999999974,190,3,22,36,0,4,0.23703703703703705,0.0,0.968421052631579,0,0
heuristic,64,187,Host,1,55.05000000000001,-45.31000000000001,100,3,21,2,0,16,0.14320987654320988,0.0,0.7,0,0
heuristic,65,188,Bacteria,0,30.900000000000176,-30.475000000000176,220,0,6,9,0,34,0.18765432098765433,0.0,0.2772727272727273,0,0
heuristic,66,189,Host,1,49.349999999999994,-44.919999999999995,77,3,19,9,0,0,0.09135802469135802,0.0,1.0,0,0
heuristic,67,190,Host,1,122.05000000000017,-123.44500000000016,114,5,0,17,0,0,0.04691358024691358,0.0,0.9385964912280702,0,0
heuristic,68,191,Host,1,33.099999999999994,-28.849999999999994,124,0,14,7,0,18,0.14074074074074075,0.0,0.6693548387096774,0,0
heuristic,69,192,Bacteria,0,83.80000000000013,-83.80000000000013,220,0,0,0,0,0,0.10123456790123457,0.0,0.0,0,0
heuristic,70,193,Bacteria,0,132.10000000000022,-119.05000000000022,220,2,46,19,0,12,0.3012345679012346,0.004545454545454545,0.6636363636363637,0,0
heuristic,71,194,Host,1,58.79999999999977,-55.82499999999977,186,0,18,17,0,20,0.1580246913580247,0.0,0.5161290322580645,0,0
heuristic,72,195,Bacteria,0,135.10000000000042,-135.10000000000042,220,0,0,0,0,0,0.08888888888888889,0.0,0.0,0,0
heuristic,73,196,Host,1,25.900000000000095,-26.050000000000093,140,0,8,12,0,15,0.15555555555555556,0.014285714285714285,0.8785714285714286,0,0
heuristic,74,197,Bacteria,0,59.70000000000022,-53.77500000000022,220,0,32,18,0,0,0.2222222222222222,0.013636363636363636,0.8090909090909091,0,0
heuristic,75,198,Host,1,92.54999999999986,-87.45999999999985,66,6,0,13,0,0,0.024691358024691357,0.0,1.0,0,0
heuristic,76,199,Host,1,94.39999999999999,-84.255,153,0,30,4,0,0,0.2,0.0,0.4117647058823529,0,0
heuristic,77,200,Bacteria,0,97.09999999999994,-97.09999999999994,220,0,0,0,0,0,0.17777777777777778,0.0,0.0,0,0
heuristic,78,201,Host,1,38.84999999999998,-34.29999999999998,65,1,0,7,0,0,0.05185185185185185,0.0,0.8615384615384616,0,0
heuristic,79,202,Bacteria,0,128.2999999999995,-128.2999999999995,220,0,0,0,0,0,0.18271604938271604,0.004545454545454545,0.0,0,0
heuristic,80,203,Bacteria,0,102.00000000000003,-89.76000000000003,220,1,58,35,0,20,0.1728395061728395,0.0,0.8636363636363636,0,0
heuristic,81,204,Bacteria,0,95.69999999999986,-94.69999999999986,220,0,2,0,0,13,0.1506172839506173,0.0,0.1,0,0
heuristic,82,205,Bacteria,0,82.30000000000022,-76.32500000000023,220,0,28,15,0,20,0.21728395061728395,0.004545454545454545,0.8272727272727273,0,0
heuristic,83,206,Bacteria,0,162.10000000000016,-162.10000000000016,220,0,0,0,0,0,0.18271604938271604,0.0,0.0,0,0
heuristic,84,207,Bacteria,0,65.99999999999973,-65.99999999999973,220,0,0,0,0,0,0.14074074074074075,0.004545454545454545,0.0,0,0
heuristic,85,208,Host,1,69.34999999999991,-68.5599999999999,71,4,0,13,0,1,0.06172839506172839,0.0,0.704225352112676,0,0
heuristic,86,209,Host,1,95.34999999999988,-79.14999999999988,117,7,33,6,0,0,0.1111111111111111,0.0,1.0,0,0
heuristic,87,210,Bacteria,0,65.99999999999973,-65.99999999999973,220,0,0,0,0,0,0.056790123456790124,0.0,0.0,0,0
heuristic,88,211,Bacteria,0,168.30000000000007,-166.27500000000006,220,3,34,24,0,0,0.2345679012345679,0.0,0.6545454545454545,0,0
heuristic,89,212,Bacteria,0,142.29999999999995,-138.67499999999995,220,2,29,29,0,19,0.19012345679012346,0.0,0.7636363636363637,0,0
heuristic,90,213,Host,1,69.39999999999993,-58.36999999999993,86,5,23,11,0,2,0.07160493827160494,0.0,0.9767441860465116,0,0
heuristic,91,214,Host,1,28.800000000000043,-27.40000000000004,125,0,15,19,0,0,0.19753086419753085,0.0,1.0,0,0
heuristic,92,215,Bacteria,0,65.99999999999973,-77.89999999999972,220,0,0,68,0,0,0.019753086419753086,0.0,1.0,1,0
heuristic,93,216,Bacteria,0,79.84999999999984,-79.91999999999985,220,2,33,44,0,0,0.145679012345679,0.004545454545454545,1.0,0,0
heuristic,94,217,Host,1,72.09999999999997,-64.82499999999996,102,4,21,9,0,0,0.16790123456790124,0.0,0.5490196078431373,0,0
heuristic,95,218,Host,1,10.79999999999999,-7.79999999999999,60,0,6,0,0,1,0.08888888888888889,0.03333333333333333,0.95,0,0
heuristic,96,219,Host,1,50.9000000000002,-47.9850000000002,206,0,28,36,0,0,0.23703703703703705,0.0048543689320388345,0.8446601941747572,0,0
heuristic,97,220,Bacteria,0,61.09999999999985,-59.20499999999985,144,0,23,23,0,0,0.1506172839506173,0.0,1.0,0,0
heuristic,98,221,Bacteria,0,122.0999999999996,-122.0999999999996,220,0,0,0,0,0,0.17037037037037037,0.004545454545454545,0.0,0,0
heuristic,99,222,Bacteria,0,122.49999999999953,-122.49999999999953,220,0,0,0,0,0,0.09876543209876543,0.0,0.0,0,0
rl,0,123,Bacteria,0,42.5,-39.725,166,0,11,6,0,22,0.10123456790123457,0.0,0.7891566265060241,0,0
rl,1,124,Bacteria,0,37.40000000000019,-33.40000000000019,220,0,11,0,0,37,0.1308641975308642,0.004545454545454545,0.25,0,0
rl,2,125,Host,1,47.34999999999998,-42.43499999999998,94,1,16,2,0,1,0.09135802469135802,0.0,0.7872340425531915,0,0
rl,3,126,Bacteria,0,180.20000000000036,-180.20000000000036,178,0,0,0,0,0,0.11604938271604938,0.0,0.0,0,0
rl,4,127,Host,1,42.600000000000016,-44.15000000000001,82,4,0,12,0,0,0.044444444444444446,0.0,0.8292682926829268,0,0
rl,5,128,Host,1,110.99999999999999,-99.98499999999999,54,12,12,8,0,0,0.07901234567901234,0.0,0.6481481481481481,0,0
rl,6,129,Host,1,77.19999999999978,-73.33499999999978,113,5,11,3,0,0,0.1580246913580247,0.0,0.6106194690265486,0,0
rl,7,130,Host,1,172.35000000000005,-159.61000000000004,155,17,26,12,0,1,0.18765432098765433,0.0064516129032258064,0.5870967741935483,0,0
rl,8,131,Bacteria,0,133.54999999999995,-105.45499999999996,216,4,54,6,0,13,0.1506172839506173,0.0,0.9398148148148148,0,0
rl,9,132,Bacteria,0,159.29999999999984,-151.98999999999984,160,12,24,5,0,0,0.05925925925925926,0.0,1.0,0,0
rl,10,133,Bacteria,0,95.99999999999987,-96.04999999999987,115,0,5,5,0,0,0.04938271604938271,0.0,1.0,0,0
rl,11,134,Host,1,26.600000000000026,-18.300000000000026,104,0,22,2,0,0,0.10123456790123457,0.0,0.9807692307692307,0,0
rl,12,135,Host,1,50.19999999999996,-46.89999999999996,154,0,11,2,0,0,0.1925925925925926,0.045454545454545456,0.18181818181818182,0,0
rl,13,136,Bacteria,0,184.05,-180.76500000000001,87,14,0,13,0,1,0.10864197530864197,0.011494252873563218,0.5632183908045977,0,0
rl,14,137,Host,1,71.64999999999995,-55.434999999999945,138,2,26,4,0,5,0.1259259259259259,0.0,0.927536231884058,0,0
rl,15,138,Bacteria,0,65.99999999999973,-65.99999999999973,220,0,0,0,0,5,0.1037037037037037,0.0,0.1409090909090909,0,0
